trade_id,account_num,activity,CUSIP,quantity,price,timestamp
1,581359928,buy,P9LJHIIK0,9346,69.71,2024-09-25 14:06:36
2,449458761,buy,L5UU11GL1,9282,147.97,2024-09-25 14:06:36
3,444327031,sell,E7U9M5TJ1,7780,211.91,2024-09-25 14:06:36
4,979132837,buy,LVKXTGYI3,8083,176.67,2024-09-25 14:06:36
5,931672447,sell,3X19JGL07,4462,83.54,2024-09-25 14:06:36
6,655876901,buy,B81RXT044,1270,203.13,2024-09-25 14:06:36
7,550724902,sell,NFVRIZ7U0,1956,277.29,2024-09-25 14:06:36
8,462271650,buy,1MCWHUEQ2,4739,288.46,2024-09-25 14:06:36
9,973551471,sell,GHMZL2J57,5389,241.20,2024-09-25 14:06:36
10,731735197,sell,QGMH9EKH8,2897,496.06,2024-09-25 14:06:36
11,365415264,sell,WY7NFU1U5,5810,271.55,2024-09-25 14:06:36
12,491048616,buy,UVHX92WX9,6411,412.16,2024-09-25 14:06:36
13,234697683,buy,F1PK6G6F1,354,205.09,2024-09-25 14:06:36
14,860466866,buy,I3O2TOR52,2158,201.30,2024-09-25 14:06:36
15,726777274,buy,WK0X73444,1712,76.14,2024-09-25 14:06:36
16,140113837,sell,5EALXULC7,378,40.00,2024-09-25 14:06:36
17,855528818,buy,F3SKW4FG0,7588,32.94,2024-09-25 14:06:36
18,713944868,buy,V8X8DT4F2,7143,63.21,2024-09-25 14:06:36
19,533335262,buy,GIHH4KP20,9697,161.00,2024-09-25 14:06:36
20,319587714,sell,X2C4VAU26,9710,60.23,2024-09-25 14:06:36
21,798933332,sell,N9NRHFKH2,7541,75.57,2024-09-25 14:06:36
22,444632917,sell,B40DT6KZ9,6824,282.32,2024-09-25 14:06:36
23,624346620,buy,9N1XQ8Q47,3132,21.49,2024-09-25 14:06:36
24,651356144,buy,LLU1DX745,3436,169.05,2024-09-25 14:06:36
25,271258895,buy,T19E5U8B5,8048,378.29,2024-09-25 14:06:36
26,934169056,buy,1NKJ5BNK8,7597,348.99,2024-09-25 14:06:36
27,791408823,buy,BB3VMI0R1,8575,13.27,2024-09-25 14:06:36
28,651291697,sell,9C4IFCI50,9688,486.71,2024-09-25 14:06:36
29,169639971,sell,4BN7IAXY1,1745,117.92,2024-09-25 14:06:36
30,138806487,buy,HU5HE6TU9,8284,421.06,2024-09-25 14:06:36
31,586444502,sell,XF0CML1W4,9009,316.83,2024-09-25 14:06:36
32,191635869,buy,OA1OP4O57,1569,187.86,2024-09-25 14:06:36
33,159911228,sell,26F3TT1E8,7975,180.26,2024-09-25 14:06:36
34,356166034,sell,NQ2NPT2D6,9733,79.26,2024-09-25 14:06:36
35,304624712,sell,NJQBDE0P3,8520,294.88,2024-09-25 14:06:36
36,847741898,buy,0NTG3EH86,6652,297.86,2024-09-25 14:06:36
37,878849495,buy,P46N1QYF1,2500,362.44,2024-09-25 14:06:36
38,778730993,sell,Z0GCTW8B6,528,98.33,2024-09-25 14:06:36
39,213984722,sell,E90A5GOB4,2145,66.90,2024-09-25 14:06:36
40,459467205,sell,SCJ72FBN2,7423,109.92,2024-09-25 14:06:36
41,102964723,sell,OUOIYZSH2,413,87.89,2024-09-25 14:06:36
42,840049687,sell,9FWX0C3P7,2111,469.08,2024-09-25 14:06:36
43,753846788,sell,U2QCKH5V7,3056,479.42,2024-09-25 14:06:36
44,214079624,sell,KNLSU3EA8,6830,260.40,2024-09-25 14:06:36
45,842058172,buy,0FS1XUXX5,9441,201.24,2024-09-25 14:06:36
46,163066310,sell,MAXG6N6O9,3840,115.51,2024-09-25 14:06:36
47,295504478,buy,4P0XSG9T2,8727,368.64,2024-09-25 14:06:36
48,743485718,sell,Y5BEMBGI6,7229,246.92,2024-09-25 14:06:36
49,890752154,buy,FOW396H92,1507,100.76,2024-09-25 14:06:36
50,964752462,sell,4UZAQXQO0,8953,474.68,2024-09-25 14:06:36
51,253086109,buy,R7L8BRYV0,4716,29.79,2024-09-25 14:06:36
52,829549873,buy,AIM72FKJ3,5732,461.21,2024-09-25 14:06:36
53,602280493,sell,TF7GJ1CB5,1826,198.21,2024-09-25 14:06:36
