trade_id,account_num,activity,CUSIP,quantity,price,transaction_time
TDB_0000001,889854561,buy,H8ULRR404,7100,283.18,2024-01-28 23:42:02
TDB_0000002,982473600,buy,156M6YY49,3407,287.02,2024-06-20 20:40:22
TDB_0000003,226651774,sell,CQBYE29J5,2635,452.47,2024-03-21 08:42:48
TDB_0000004,825810138,buy,A0XKZ70G1,2835,477.68,2023-11-12 22:32:51
TDB_0000005,833887605,buy,B4VLMJKR4,7460,402.34,2024-05-21 20:22:54
TDB_0000006,651286323,buy,A0XKZ70G1,421,384.80,2024-01-20 08:37:14
TDB_0000007,803264434,buy,V0H365KX1,5581,468.29,2024-04-01 01:25:35
TDB_0000008,833887605,sell,15EHH7NG3,719,441.55,2024-05-02 06:28:22
TDB_0000009,815127386,sell,B29432H36,1350,303.91,2023-10-05 15:37:21
TDB_0000010,611250713,buy,B29432H36,6685,25.32,2024-03-10 01:55:10
TDB_0000011,400437068,buy,TX30S8B62,9041,257.86,2024-08-17 17:45:26
TDB_0000012,815127386,sell,Y0S5DJPF7,5418,8.73,2023-10-30 18:00:48
TDB_0000013,611250713,sell,CQBYE29J5,365,97.42,2024-05-30 19:50:15
TDB_0000014,850226336,buy,V0H365KX1,3143,107.79,2024-03-22 05:59:24
TDB_0000015,813265305,sell,156M6YY49,1107,268.51,2024-06-23 17:37:19
TDB_0000016,661255455,sell,V0H365KX1,6144,0.59,2024-02-12 13:58:47
TDB_0000017,813265305,sell,ZZZ6K86D1,3479,76.97,2024-01-14 20:00:42
TDB_0000018,850226336,buy,5ZSZR4IX3,4808,167.55,2023-10-01 15:06:05
TDB_0000019,159570865,buy,YWJEHHDP9,3233,81.96,2024-06-09 19:17:53
TDB_0000020,115447971,sell,B29432H36,435,433.39,2024-02-14 08:48:08
TDB_0000021,661255455,buy,JS1JBRRF4,4476,148.60,2024-04-11 02:53:19
TDB_0000022,107216323,buy,156M6YY49,8962,440.95,2024-01-26 18:56:29
TDB_0000023,661255455,buy,ZZZ6K86D1,5386,101.03,2024-04-20 02:32:48
TDB_0000024,105933111,sell,ZZZ6K86D1,5118,395.20,2024-04-20 23:17:59
TDB_0000025,645066656,buy,HSGO3XBM7,444,114.45,2024-01-01 07:03:16
TDB_0000026,951998275,sell,292P3LG71,7531,396.28,2023-11-04 13:38:38
TDB_0000027,127658056,buy,YO02STU92,5656,296.28,2024-04-11 13:08:56
TDB_0000028,674281263,buy,HSGO3XBM7,528,315.26,2024-01-15 13:36:52
TDB_0000029,281014001,buy,X1LUZZ008,1604,6.92,2024-05-11 17:28:23
TDB_0000030,982473600,sell,H8ULRR404,6064,446.88,2024-07-10 09:57:12
TDB_0000031,798818183,buy,X1LUZZ008,9455,358.90,2024-07-24 14:01:46
TDB_0000032,281014001,buy,Q99X60AP0,4320,311.77,2024-05-12 14:32:56
TDB_0000033,105933111,sell,RD1OSEVT3,1923,261.84,2024-01-07 05:35:00
TDB_0000034,268260362,buy,H8ULRR404,6764,15.27,2024-06-13 03:12:29
TDB_0000035,889854561,buy,V0H365KX1,8128,378.07,2024-02-11 18:00:00
TDB_0000036,281014001,buy,9SUGDF3A0,3570,316.31,2024-07-17 18:45:17
TDB_0000037,594779001,sell,A0XKZ70G1,5983,464.77,2024-04-02 14:55:54
TDB_0000038,105933111,sell,292P3LG71,417,390.91,2023-11-05 12:47:19
TDB_0000039,127658056,buy,ZZZ6K86D1,7951,385.03,2024-06-17 08:19:41
TDB_0000040,159570865,buy,A0XKZ70G1,5323,201.83,2024-05-16 00:28:57
TDB_0000041,611250713,buy,YO02STU92,4748,222.10,2024-07-29 14:18:15
TDB_0000042,407496832,buy,B29432H36,443,402.28,2024-02-22 11:57:21
TDB_0000043,105933111,buy,156M6YY49,1881,80.95,2023-12-04 06:31:48
TDB_0000044,127658056,buy,Y0S5DJPF7,447,58.12,2024-08-02 12:27:52
TDB_0000045,825810138,buy,IJHKIMLJ7,4403,130.45,2023-12-25 18:16:03
TDB_0000046,127658056,buy,JS1JBRRF4,2133,346.81,2023-10-09 11:09:38
TDB_0000047,674281263,sell,9SUGDF3A0,3114,364.29,2024-08-23 21:03:12
TDB_0000048,268260362,sell,TX30S8B62,2300,302.68,2024-03-06 18:41:59
TDB_0000049,651286323,sell,V0H365KX1,3352,414.21,2024-08-09 09:00:28
TDB_0000050,798818183,sell,292P3LG71,5282,108.53,2024-07-24 07:19:30
TDB_0000051,850226336,buy,5ZSZR4IX3,5970,367.26,2024-03-11 06:24:52
TDB_0000052,813265305,buy,292P3LG71,9450,216.42,2024-06-29 06:45:30
TDB_0000053,825810138,buy,292P3LG71,3853,99.67,2024-08-18 17:54:18
TDB_0000054,105933111,sell,CKCVCQPB1,5856,467.38,2024-04-02 09:51:57
TDB_0000055,594779001,sell,Q99X60AP0,5168,94.10,2024-04-14 03:05:50
TDB_0000056,825810138,sell,9SUGDF3A0,2234,101.49,2024-09-02 05:34:21
